nombre,provincia,web,email,telefono,direccion
30 GRADOS,Córdoba,,club30degrees@gmail.com,606702608,Peñarroya-pueblonuevo
ACROBATICA EL EJIDO,Almería,,acrobaticaelejido@gmail.com,619457016,Ejido
ACROBATOS,Granada,,club_acrobatos_granada@hotmail.es,"669 58 36 05, 645 090 857",Albolote
ADC. ACROBALIA,Jaén,https://acrobalia.com,info@acrobalia.com,"637 878 480, 953 01 72 48",Jaén
AGRUPACION DEPORTIVA LA SALLE,Almería,https://adeportivalasallealmeria.com,adeportiva.almeria@lasallevirgendelmar.com,950 22 00 93,Almería
ALDETOR,Málaga,,aldetor@gmail.com,662660814,Torremolinos
ALMODOVAR DEL RIO,Córdoba,,clubgralmodovardelrio@gmail.com,644 457 854,Almodóvar del Río
AQUATIERRA SAN JUAN DE AZNALFARACHE,Sevilla,,clubdeportivoaquatierrasanjuan@gmail.com,"624 045 001, 678 157 799","San Juan de Aznalfarache"
AYUNTAMIENTO DE SALOBREÑA,Granada,,,,Salobreña
BENALRITMICA,Málaga,https://www.benalritmica.es,benalritmica@gmail.com,"656 440 079, 659 332 605",Benalmádena
C GR LOS BARRIOS,Cádiz,,,,Los Barrios
C.D GIMNASIA RÍTMICA ALSUR,Málaga,,ritmicalsur@gmail.com,681 936 774,Manilva
C.D GIMNASIA RITMICA CASTELLAR,Cádiz,,,,Algeciras
C.D RITMICA CASTELL,Granada,,,,Castell de Ferro
C.D RÍTMICA OGÍJARES,Granada,,cdritmicaogijares@gmail.com,637 847 011,Ogijares
C.D ROQUETAS 2015,Almería,,,,Roquetas de Mar
C.D. AL ANDALUS DE GIMNASIA RITMICA,Granada,,,,Granada
C.D. DE GIMNASIA ALFA,Huelva,https://cdgimnasiaalfa.com,info@cdgimnasiaalfa.com,"629 242 297, 608 471 583",Huelva
C.D. DIVERSIA JEREZ,Cádiz,,diversia.centroacrobaticojerez@gmail.com,622 07 51 87,"Jerez de la Frontera"
C.D. GIMNASIA RITMICA BARBATE,Cádiz,,"","676 768 097, 605 657 814",Barbate
C.D. GIMNASIA RITMICA RITMILUC,Córdoba,,,,Lucena
C.D. RÍTMICA BADLANDS,Granada,,,,Castilléjar
C.D. RÍTMICA BAZA,Granada,,clubritmicabaza@gmail.com,653 39 29 36,Baza
C.D. RITMICA STARS,Málaga,,,,Málaga
C.D.GIMNASIA RITMICA ANDUJAR,Jaén,,,,Andújar
C.D.GYM MOLA,Huelva,,,,Huelva
C.D.STARLIGHT,Granada,,,,Güevejar
C.G.R VILLA TORRE,Jaén,,,,Torredonjimeno
CD GIMNASIA RITMICA ENCINAREJO,Córdoba,,,,Encinarejo de Córdoba
CD ADONIA VICAR,Almería,,,,Puebla de Vícar
CD ALL SPORT,,,,,
CD ALL SPORTS BERMEJALES,Sevilla,,,,Sevilla
CD APADEMAR,Córdoba,,,,Córdoba
CD ATALAYAS DEL LEVANTE,,,,,
CD BALANS,Granada,,,,Albolote
CD BARUCA,Jaén,,,,Alcala la Real
CD BEATRIZ DANZING,Granada,,,,Guadix
CD GIMNASIA RITMICA CARRION DE LOS CESPEDES,Sevilla,,,,Carrión de los Céspedes
CD GIMNASIA RITMICA LA CARLOTA,Córdoba,,,,La Carlota
