nombre,provincia,web,email,telefono
Club Rítmica Alaia,Navarra,https://ritmicaalaia.es,info@ritmicaalaia.es;cralaia@hotmail.com;clubritmicaalaia@gmail.com,
Club Gimnasia Rítmica Arabeska,Madrid,https://www.clubarabeska.com,contacto@clubarabeska.com,"637 230 982; 652 604 095"
Club Gimnasia Rítmica Málaga,Málaga,https://www.ritmicamalaga.com,,667627954
Club Gimnasia Rítmica S.S. de los Reyes,Madrid,https://www.ritmicasanse.es,administracion@ritmicasanse.es,
Club Gimnasia Rítmica Kaleyn,Madrid,https://clubritmicakaleyn.es/contacto,info@clubritmicakaleyn.es,
Real Federación Española Gimnasia,Nacional,https://rfegimnasia.es,rfeg@rfegimnasia.es,915401078
Club Palas (Albacete),Albacete,http://www.clubpalas.es,contacto@clubpalas.es;escuelasgimnasiaritmica@gmail.com,616492282
Gimnasia Rítmica Castellón (FGCV),Castellón,https://fgcv.es,ritmicajonense@gmail.com,
Club Gimnástica Ritmica Aitana,Valencia,,newritmicaaitana@gmail.com;silvia.clubaitana@gmail.com,649514323
Club Rítmica Chasse,Madrid,,club.ritmica.chasse@gmail.com,
Club Viravolta Santiago,A Coruña,https://clubviravoltasantiago.com,info@clubviravoltasantiago.com,
