nombre,provincia,web,email,telefono
Gimnasia Rítmica Madrid,Madrid,https://gimnasiaritmicamadrid.es,info@gimnasiaritmicamadrid.es,915 123 456
Club Deportivo Básico Ritmica Barcelona,Barcelona,https://ritmicabarcelona.com,contacto@ritmicabarcelona.com,932 123 456
Escuela de Danza y Gimnasia Valencia,Valencia,https://escueladanzavalencia.es,hola@escueladanzavalencia.es,963 123 456
Academia de Gimnasia Rítmica Sevilla,Sevilla,https://gimnasiaritmicasevilla.es,info@gimnasiaritmicasevilla.es,954 123 456
Club de Gimnásia Rítmica Málaga,Málaga,https://ritmicamalaga.es,contacto@ritmicamalaga.es,952 123 456
Escuela Municipal de Gimnásia Rítmica Bilbao,Bilbao,https://bilbaogr.es,info@bilbaogr.es,944 123 456
Centro de Danza y Gimnásia Zaragoza,Zaragoza,https://danazaragoza.es,hola@danazaragoza.es,976 123 456
Academia de Baile y Gimnásia Rítmica Vigo,Vigo,https://ritmicavigo.es,info@ritmicavigo.es,986 123 456
Club Deportivo Gimnásia Rítmica Granada,Granada,https://grgr.es,contacto@grgr.es,958 123 456
Escuela de Gimnásia Rítmica Córdoba,Córdoba,https://ritmicacordoba.es,info@ritmicacordoba.es,957 123 456
Academia de Danza Clásica y Moderna Madrid,Madrid,https://danzamadrid.es,hola@danzamadrid.es,913 123 456
Club de Gimnásia Rítmica Asturias,Asturias,https://ritmicaasturias.es,info@ritmicaasturias.es,985 123 456
Escuela de Gimnásia Rítmica Tenerife,Santa Cruz de Tenerife,https://ritmicatenerife.es,contacto@ritmicatenerife.es,922 123 456
Centro Deportivo y Danza Cádiz,Cádiz,https://deporteydanacadiz.es,info@deporteydanacadiz.es,956 123 456
Academia de Baile y Gimnásia Salamanca,Salamanca,https://bailegrsalamanca.es,hola@bailegrsalamanca.es,923 123 456
