nombre,provincia,web,email,telefono,direccion
A.D.E. Rítmica Alcorcón,Madrid,,clubritmica@gmail.com,646612034,"Polideportivo Los Cantos C/ De Los Cantos, 28"
Adam Asociación Deportiva Aeróbica de Móstoles,Madrid,,jdadam2009@gmail.com,640163049,"Colegio Villaeuropa"
Agrupación de Gimnasia Artística Deportiva de Móstoles,Madrid,,agad.mostoles@gmail.com,640098584,"Centro Deportivo Municipal Rafa Martínez"
Agrupación Deportiva Collado Mediano,Madrid,,licoperdon@hotmail.com,657908779,"Polideportivo Municipal Collado Mediano"
Andraga Club,Madrid,https://www.andragas.es,andragaclub@andraga.es,638587421,"Gimnasio CEIP Cantos Altos"
C.D Vicente Aleixandre Alcorcón,Madrid,,cdvicentealeixandre@hotmail.com,633391915,"C/Tablas de Daimiel s/n"
C.D. E Gimnasia Rítmica Majadahonda,Madrid,https://www.ritmicamajadahonda.com/,gimnasia.ritmica.majadahonda@gmail.com,689335205,"Pabellon Principe Felipe. Avda. Guadarrama, 7"
C.D.E Rítmica Retiro Madrid,Madrid,www.ritmicaretiro.com,ritmicaretiro@gmail.com,617141669,"Centro Dotacional I Arganzuela"
C.D.E.G.R C.V. Atocha,Madrid,,gimnasiaritmicavirgendeatocha@outlook.es,,"Avenida Ciudad de Barcelona, 1"
CD Rítmica Nicè,Madrid,https://www.clubgimnasiarítmicanicé.es,cdritmica_nice@hotmail.com,645311637,"Entrevias"
CDE Alkor Villalkor,Madrid,,ritmicaalkorvillalkor@gmail.com,692064064,"Polideportivo Villalkor"
CDE Aluche,Madrid,,cd.aluche@gmail.com,695548480,"CDM Las Cruces (Avenida de los poblados 72)"
CDE Aria Madrid Rítmica Moralzarzal,Madrid,,cde.ariamadridritmica@gmail.com,620727453,"Polideportivo Colegio Leonardo da Vinci"
CDE Euritmia Gimnasia Rítmica,Madrid,,ritmica.euritmia@gmail.com,914891111,"Alcalde Garrido Juaristi, 17"
CDE Gimnasia Pivot Brunete,Madrid,,pivotbrunete@gmail.com,657307658,"Colegio Ágora de Brunete"
CDE Gimnasia Rítmica Lluna,Madrid,,cdegrlluna@hotmail.com,608222389,"Gimnasio Estoril II"
CDE GR Valle Mägerit,Madrid,,cgrvallemagerit@hotmail.con,,"C/ Cerro Almodóvar, 9"
CDE La Hispanidad,Madrid,,marinareyes.gym@gmail.com,672624574,"c/ Armonía, 22"
CDE Moscardo Siglo XXI,Madrid,,moscardosigloxxi@gmail.com,696969483,"CDM Gimnasio Moscardó"
CDE Ritmadrid,Madrid,,clubritmadrid@hotmail.com,630924323,"Polideportivo Los Mosquitos"
CDE Rítmica Chassé,Madrid,,Club.ritmica.chasse@gmail.com,692219405,"Centro Deportivo Municipal Faustina Valladolid"
CDE Rítmica El Greco JRJ,Madrid,,gimnasia.elgrecojrj@gmail.com,623041038,"Polideportivo CEIP El Greco"
CDE Rítmica Fuenlabrada,Madrid,,cderitmicafuenlabrada@gmail.com,6363504343,"Colegio Miguel Hernández"
CDE Rítmica Getafe / Escuela de Veteranas,Madrid,www.cderitmicagetafe.com,cderitmicagetafe@hotmail.com,717712251,"Pabellón M4"
CDE Rítmica Parla,Madrid,,cderitmicaparla@gmail.com,690111317,"Colegio Madre Teresa de Calcuta"
CDE Rítmica Sierra Madrid,Madrid,https://www.clubritmicasierramadrid.com/,ritmicasierramadrid@gmail.com,633448705,Colmenarejo
CDE Varitas de Tres Cantos,Madrid,https://www.gimnasiaritmica3cantos.es/,ritmica3cantos@gmail.com,659983433,"Polideportivo el Pinar, Jesús Carballo"
CDEGR Humanes de Madrid,Madrid,,cdegrhumanes@gmail.com,654182471,"Pabellón Campohermoso"
CDEGR Villaviciosa de Odón,Madrid,,ritmicavillaviciosadeodon@hotmail.com,919000000,"Colegio Ghandi / IES Centro de Capacitación Agraria"
CEGAD. Los Cantos Alcorcón,Madrid,,cegadloscantosalcorcon@gmail.com,628921860,"Polideportivo La Canaleja"
Centro Deportivo Vallecas CDV,Madrid,https://vallecascdv.es/,ritmicacdv@gmail.com,617855658,"Polideportivo Municipal Palomeras"
CEP Rítmica Vallecas,Madrid,https://www.ritmicavallecas.es/,ritmicavallecas@gmail.com,696428031,"Pabellón Municipal Ángel Nieto"
CGA Fénix Las Rozas,Madrid,https://cgafenixlasrozas.es/,info@cgafenixlasrozas.es,679980626,"Polideportivo Entremontes"
CGR Algete,Madrid,http://www.cgralgete.es,cgralgete@hotmail.com,605036359,"Polideportivo Municipal Duque de Algete"
CGR Arganzuela,Madrid,,arganzuelacgr@gmail.com,692470015,"CDM La Fundi-Arganzuela"
CGR San Agustín,Madrid,https://cgrsanagustin.home.blog/,cgrsanagus@gmail.com,,"c/Julián Berrendero, s/n"
CGR San Sebastián de los Reyes,Madrid,https://www.ritmicasanse.es/,administracion@ritmicasanse.es,,"Pabellón V Centenario. C/ Real, 112"
CGR Villa de Madrid,Madrid,,cgrvillademadrid@hotmail.com,606846191,"CDM Plata y Castañar"
CGRD San Fernando,Madrid,http://www.cgrdsanfernando.es/,cgrdsanfernando@hotmail.com,615280529,"Calle Vitoria Sn"
Club Andraga Moralzarzal,Madrid,,acromoral@gmail.com,638587421,"CEIP El Raso, C. del Raso, 6"
Club Bérriz,Madrid,https://colegioberriz.com/,ritmica.berriz@colegioberriz.com,636559580,"Colegio Bérriz y Ciudad del Fútbol RFEF"
Club Central Acrobática,Madrid,https://centralacrobatica.es/,centralacrobatica@gmail.com,699186561,"C/del Caño 1"
Club D.E. Gimnástico Loranca,Madrid,,ritmicaloranca@hotmail.com,660131464,"Pabellón Loranca"
Club Dayso,Madrid,,ritmicadayso@gmail.com,638822486,"Avenida Pablo Iglesias, 1"
Club de Gimnasia Artística Pozuelo,Madrid,https://www.cgapozuelo.es/,sylviagarciagonzalez@gmail.com,607746197,"Polideportivo Pradillo"
Club de Gimnasia Rítmica Hoyo de Manzanares,Madrid,,clubgrhoyodemanzanares@gmail.com,671447480,"Polideportivo Municipal Las Eras"
Club de Gimnasia Villa Getafe,Madrid,https://cdgrvillagetafe.com/,info@cdgrvillagetafe.com,654361330,"Ceip El Bercial"
Club Deportivo Elemental CP Perú,Madrid,https://www.clubdeportivoperu.com/,club.deportivo.cp.peru@gmail.com,626302626,"Polideportivo del CEIP Perú (calle Baleares,18)"
Club Deportivo Elemental Dream Box,Madrid,https://grdreambox.wixsite.com/dream-box,gr.dreambox@gmail.com,691930148,"Polideportivo Municipal Paracuellos de Jarama"
Club Deportivo Elemental El Valle,Madrid,,gimnasiaritmica@cdelvalle.es,656382235,"c/ Ana de Austria 60"
Club Deportivo Elemental G.R. Mejorada del Campo,Madrid,,clubgrmejoradadelcampo@gmail.com,676212339,"Pabellón Municipal La Dehesa y IES Los Olivos"
Club Deportivo Elemental Gimnasia Aeróbica Paracuellos,Madrid,,cdegimnasiaaerobicaparacuellos@aerobicaparacuellos.es,635127414,"Paracuellos de Jarama"
