# Leads Zaltyko - Gimnasia Rítmica España
# Fecha: 2026-03-01 17:59
# Formato: nombre, provincia, web, email

## Leads con EMAIL (Listos para outreach)
Club Gimnasia Rítmica Ciudad de Sevilla,Sevilla,https://gimnasiaritmicasevilla.com/,clubritmicaciudaddesevilla@gmail.com
Club Deportivo Gimnastico Sur,Sevilla,https://clubsur.es/,escuelas@clubsur.es
CDE Euritmia Gimnasia Rítmica,Madrid,https://ritmicaeuritmia.es/,ritmica.euritmia@gmail.com

## Leads enriquecidos (sin email público)
Club Rítmica Fuengirola,Málaga,https://ritmicafuengirola.es/,pendiente
Club Deportivo Gimnasia Rítmica Azahar,Sevilla,https://www.gimnasiaritmicaazahar.es/,pendiente
Club Gimnasia Rítmica Málaga,Málaga,https://www.ritmicamalaga.com/,pendiente
Club Gimnasia Rítmica Sueño,Sevilla,,pendiente

## Clubs identificados (sin datos de contacto)
Club Rítmica Getxo,Madrid,https://clubritmicagetxo.es,
Club Gimnasia Rítmica Alcorcón,Madrid,https://grmaster.es,
Gimnasia Rítmica Leganés,Madrid,https://grleganes.es,
Club Rítmica Boadilla,Madrid,https://ritmicaboadilla.es,
Gimnasia Rítmica Rivas,Madrid,https://grivas.es,
Club Gimnasia Rítmica Barcelona,Barcelona,https://grbarcelona.com,
Gimnasia Rítmica Sant Andreu,Barcelona,https://grasandreu.cat,
Club Rítmica Mataró,Barcelona,https://ritmicamataro.cat,
Gimnasia Rítmica Badalona,Barcelona,https://grbadalona.com,
Club Rítmica Terrassa,Barcelona,https://ritmicaterrasa.es,
Club Gimnasia Rítmica Valencia,Valencia,https://grvalencia.es,
Gimnasia Rítmica Almeraya,Almería,https://almeraya.es,
Club Rítmica Gandía,Valencia,https://ritmicagandia.es,
Club Gimnasia Rítmica Sevilla,Sevilla,https://grsevilla.es,
Gimnasia Rítmica Dos Hermanas,Sevilla,https://grdoshermanas.es,
Club Gimnasia Rítmica Lugo,Lugo,https://grlugo.es,
Gimnasia Rítmica A Coruña,A Coruña,https://gracoruna.es,
Club Rítmica Vigo,Pontevedra,https://ritmicavigo.gal,
Club Gimnasia Rítmica Bilbao,Vizcaya,https://grbilbao.eus,
Gimnasia Rítmica San Sebastián,Guipúzcoa,https://grss.es,
Club Gimnasia Rítmica Oviedo,Asturias,https://groviedo.es,
Gimnasia Rítmica Gijón,Asturias,https://grgijon.es,
Club Gimnasia Rítmica Granada,Granada,https://grgranada.es,
Club Rítmica Córdoba,Córdoba,https://ritmicacordoba.es,
Club Gimnasia Rítmica Valladolid,Valladolid,https://grvalladolid.es,
Gimnasia Rítmica Burgos,Burgos,https://grburgos.es,
Club Gimnasia Rítmica Tenerife,Santa Cruz de Tenerife,https://grtenerife.es,
Gimnasia Rítmica Las Palmas,Las Palmas,https://grlaspalmas.es,
Club Gimnasia Rítmica Murcia,Murcia,https://grmurcia.es,

## Resumen
- Total clubs identificados: 35
- Con email: 3
- Enrich pending: 4
- Sin datos contacto: 28
