nombre,provincia,web,email,telefono
A.D.E. Rítmica Alcorcón,Madrid,,646612034,
Adam Asociación Deportiva Aeróbica,Móstoles,,640163049,
Agrupación Deportiva Collado Mediano,Madrid,,657908779,
C.D. E Gimnasia Rítmica Majadahonda,Madrid,,689 335 205,
C.D.E. Rítmica Retiro Madrid,Madrid,https://ritmicaretiro.com,617141669,
CDE Alkor Villalkor,Madrid,,692064064,
CDE Aluche,Madrid,,695548480,
CDE Euritmia Gimnasia Rítmica,Madrid,https://ritmicaeuritmia.es,914891111,
CDE Gimnasia Rítmica Lluna,Móstoles,,608222389,
CDE Rítmica Boadilla,Madrid,https://www.ritmicaboadilla.com,,
CDE Rítmica Chassé,Madrid,,692219405,
CDE Rítmica El Greco,Madrid,,623041038,
CDE Rítmica Fuenlabrada,Madrid,,6363504343,
CDE Rítmica Parla,Madrid,,690111317,
CDE Rítmica Sierra Madrid,Madrid,,633448705,
CDE Varitas de Tres Cantos,Madrid,,659983433,
Club Gimnasia Rítmica Arabeska,Madrid,https://www.clubarabeska.com,,
Gimnasia Ritmica La Mina,Madrid,https://www.gimnasiaritmicalamina.com,,
Novo Rítmica Madrid,Madrid,https://novoritmicamadrid.com,,
C.E.G. Almussafes,Valencia,cega-almussafes@hotmail.es,609131564,
A.C.E. Sueca,Valencia,albaritmica_97@hotmail.es,638030646,
C.D.E. Rítmica Aldaia,Valencia,clubritmicaaldaia@gmail.com,656394949,
Almara Burjassot,Valencia,almaraburjassot16@outlook.es,666276141,
Atzar Valencia,Valencia,http://www.atzarvalencia.es,administracion@atzarvalencia.es,634805239,
Club Gimnasia Rítmica Atlético Valencia,Valencia,cgratleticovalencia@gmail.com,654374070,
Club Gimnasia Rítmica Benimaclet,Valencia,cgrbenimaclet@gmail.com,627016739,
Club Gimnasia Rítmica Cullera,Valencia,cgrcullera@hotmail.com,615672360,
Club Gimnasia Rítmica Gandía,Valencia,cgrvidagandia@gmail.com,63780338,
Club Gimnasia Rítmica Manises,Valencia,cgrmanises@gmail.com,961549038,
Club Gimnasia Rítmica Monserrat,Valencia,promesesmontserrat@gmail.com,,
Club Antares Valencia,Valencia,https://www.gimnasiaesantares.com,ritmica.clubantares@gmail.com,623066231,
CGR Alboraya Patacona,Valencia,cgralboraya@gmail.com,608642050,
CGR Benetusser,Valencia,gimnasticaritmicabenetusser@gmail.com,658160656,
CGR Cabrioles Mislata,Valencia,grcabrioles@gmail.com,640276767,
Abrera Gimnàstic Club,Barcelona,abreragc@gimcat.com,696027583,
Associació Esportiva Casp,Barcelona,aecasp@gimcat.com,933183704,
Club Esportiu La Salle Gràcia,Barcelona,cesallegracia@gimcat.com,932922118,
Club Esportiu Olímpic Mar Bella,Barcelona,ceomarbella@gimcat.com,932210676,
Club Esportiu Sants Gimnàstic,Barcelona,cesantsgimnastic@gimcat.com,660764336,
Club Gimnàstic Barcelona,cgbarcelona@gimcat.com,,933183704,
Club Gimnàstic Sant Andreu,Barcelona,cgsantandreu@gimcat.com,620544001,
Gràcia Gimnàstic Club,Barcelona,graciagc@gimcat.com,932841695,
Training Guinardó,Barcelona,training-guinardo@gimcat.com,,
Gimnasia Rítmica Costa Daurada,Tarragona,https://www.ritmicacostadaurada.com,,
Altair de Gimnasia Rítmica,Cartagena,,,
Club Gimnástico Almendralejo,Extremadura,,,
Rítmica Evolve,Madrid,,,
