nombre,provincia,web,email,notas
Club Gimnasia Rítmica Arabeska,Madrid,https://www.clubarabeska.com/,,Club en San Lorenzo de El Escorial
Club Rítmica Retiro,Madrid,https://ritmicaretiro.com/,,Polideportivos Madrid
Rítmica Boadilla,Madrid,https://www.ritmicaboadilla.com/,,450 gimnastas, club grande
Club Rítmica Kaleyn,Madrid,https://clubritmicakaleyn.es/,,Barrio Orcasitas
Club Gimnasia Rítmica Sierra Madrid,Madrid,https://www.clubritmicasierramadrid.es/,,Collado Villalba y Colmenarejo
Euritmia,Madrid,https://ritmicaeuritmia.es/,,14 ubicaciones, 500 gimnastas
Gimnasia Rítmica La Mina,Madrid,https://www.gimnasiaritmicalamina.com/,,Carabanchel
Novo Rítmica Madrid,Madrid,https://novoritmicamadrid.com/,
Federación Madrileña de Gimnasia,Madrid,https://www.fmgimnasia.com/clubes/,,Directorio oficial FMG
Club Gimnasia Rítmica Ciudad de Sevilla,Sevilla,http://gimnasiaritmicasevilla.com/,,3 sedes en Sevilla
Club Deportivo Gimnástico Sur,Sevilla,,,Mencionado en directorios
Club Gimnasia Rítmica Guadaíra,Sevilla,,,
Club Gimnasia Rítmica Málaga,Málaga,https://www.ritmicamalaga.com/,,Club oficial Málaga
Federación Andaluza de Gimnasia,Sevilla,https://www.andaluciagym.com/federacion/clubes/,info@andaluciagym.com,954 29 60 92
Gimnàstic de Tarragona,Tarragona,https://gimnasticdetarragona.cat/,,1ª categoría estatal
Federació Gimnàstica Comunitat Valenciana,Valencia,https://fgcv.es/,,
C.E.G. Almussafes,Valencia,,cega-almussafes@hotmail.com,609131564
Club Ritmica Aldaia,Valencia,,clubritmicaaldaia@gmail.com,656394949
Almara Burjassot,Valencia,,almaraburjassot16@outlook.es,666276141
Atzar Valencia,Valencia,,administracion@atzarvalencia.es,634805239
C.G.R. Albafara,Valencia,,esthergym@hotmail.com,651888721
CGR Alboraya Patacona,Valencia,,cgralboraya@gmail.com,608642050
CGR Benetusser,Valencia,,gimnasticaritmicabenetusser@gmail.com,658160656
CGR Cabrioles Mislata,Valencia,,grcabrioles@gmail.com,640276767
CGR El Puig,Valencia,,cgritmicaelpuig@hotmail.com,653155565
CGR Vida Gandia,Valencia,,cgrvidagandia@gmail.com,63780338
Club Gimnasia Rítmica Atlético Valencia,Valencia,,cgratleticovalencia@gmail.com,654374070
Club Gimnasia Rítmica Benimaclet,Valencia,,cgrbenimaclet@gmail.com,627016739
Club Gimnasia Rítmica Catarroja,Valencia,,ritmica.catarroja@hotmail.com,656182739
Club Gimnasia Rítmica Cullera,Valencia,,cgrcullera@hotmail.com,615672360
Club Gimnasia Rítmica La Valldigna,Valencia,,ritmicalavalldigna@gmail.com,659118033
Club Gimnasia Rítmica Lliria,Valencia,,cgrlliria@gmail.com,690066511
Club Gimnasia Rítmica L'Alcudia,Valencia,,ritmicalalcudia@gmail.com,611665145
Club Gimnasia Rítmica Manises,Valencia,,cgrmanises@gmail.com,961549038
Club Gimnasia Rítmica Moncada,Valencia,,cgrmoncada@gmail.com,650311741
Club Gimnasia Rítmica Picassent,Valencia,,clubgrpicassent@gmail.com,961231834
Club Gimnasia Rítmica Real Requena,Valencia,,alba_gim91@hotmail.com,
Club Herca Torrent,Valencia,,clubherca@gmail.com,961553131
Club La Eliana,Valencia,,cgrleliana@gmail.com,611626811
Club Gimnàstica Rítmica Alcasser,Valencia,,cgr.alcasser@gmail.com,617977348
Club GR Alberique,Valencia,,rosanamartos@hotmail.com,661516913
Club GR Vilamarxant,Valencia,,clubgrvilamarxant@hotmail.com,692628122
Fenix Alzira,Valencia,,fenixalziraritmica@gmail.com,633936228
Rítmica Quart de Poblet,Valencia,,ritmicaquart@hotmail.com,645375481
Rítmica Benifaio,Valencia,,cgr.roquettebenifaio@gmail.com,620933537
Seda Vis,Valencia,,cgritmicasedavi@gmail.com,610376282
Club Rítmica Torrent,Valencia,,clubgrtorrent@hotmail.com,961565412
Gimnasia Sagunto,Valencia,,aircrispin@hotmail.com,646987302
Club Rítmica Barcelona,Barcelona,https://www.facebook.com/ClubRitmicaBarcelona/,,
Gimnàstica Club Barcelona,Barcelona,https://gimnasticaclub.barcelona/,,Barrio Sarrià
Club Esportiu Barnarítmica,Barcelona,https://clubesportiubarna.com/,,Barcelona y Sant Just Desvern
Associació Esportiva Gimàstica Ritmitca Onix,Barcelona,https://ritmicaonix.com/,
Asogym,Barcelona,http://asogym.com/,
Club Gimnàstic Barcelona,Barcelona,https://www.clubgimnasticbarcelona.com/,,C/ Roger 8
Club Rítmica Cerdanyola,Barcelona,,cgrcerdanyola@gimcat.com,615598497
Club Rítmica Banús,Barcelona,,,Cerdanyola del Vallès
Federació Catalana de Gimnàstica,Barcelona,https://gimcat.com/clubs.html,,
Club Rítmica San Sebastián de los Reyes,Madrid,https://www.ritmicasanse.es/,,San Sebastián de los Reyes
Club Sanluqueño de Gimnasia Rítmica,Cádiz,,,Encarna Piñero (presidenta)
Club Gimnasia Rítmica Benavente,Zamora,,,Club mentioned en noticias
Federación Extremeña de Gimnasia,Extremadura,https://www.fexgimnasia.es/,,,
Club Gimnástico Almendralejo,Badajoz,,,5º puesto en Liga Iberdrola
Federación Asturias Gimnasia,Asturias,https://www.gimnastur.com/,,
Club Rítmica Ansoain,Navarra,https://www.ansoainritmica.es/,,Campeonato Navarro
