nombre,provincia,web,email,telefono
Club Gimnasia Rítmica Málaga,Málaga,ritmicamalaga.com,,667627954
Club Gimnasia Rítmica Sirka Ritmo,Málaga,clubsirkaritmo.es.com,,666413400
Club Deportivo Miralmar,Málaga,clubmiralmar.com,,699622211
Club Deportivo Gimnasia Rítmica Sohail Mijas,Málaga,,,625741207
Gimnasia Rítmica Fuengirola,Málaga,ritmicafuengirola.es,,633135315
CEP Rítmica Vallecas,Madrid,ritmicavallecas.es,,696428031
Club Deportivo Stella Maris,Madrid,cdstellamaris.es,,
Club Rítmica Stars,Madrid,,,
Rítmica Alaia,Navarra,ritmicaalaia.es,,
A.D.E. Rítmica Alcorcón,Madrid,,,646612034
C.D. E Gimnasia Rítmica Majadahonda,Madrid,,,689335205
C.D.E Rítmica Retiro Madrid,Madrid,,,617141669
CD Rítmica Nicè,Madrid,,,645311637
CDE Alkor Villalkor,Madrid,,,692064064
CDE Aluche,Madrid,,,695548480
CDE Gimnasia Rítmica Lluna,Madrid,,,608222389
CDE Rítmica Fuenlabrada,Madrid,,,6363504343
CDE Rítmica Parla,Madrid,,,690111317
CDE Rítmica Getafe,Madrid,,,717712251
CDE Varitas de Tres Cantos,Madrid,,,659983433
Club Gimnasia Rítmica Sevilla,Sevilla,,,
Club Gimnasia Rítmica Jerez,Cádiz,,,
Club Gimnasia Rítmica Onuba,Huelva,,,
Club D.G. Rítmica Nazari,Granada,,,
30 Grados,R Córdoba,,606702608,club30gradose@gmail.com
Acrobática El Ejido,Almería,,619457016,acrobaticaelejido@gmail.com
Club Atlético Montemar,Alicante,,,
Club Deportivo Agustinos Alicante,Alicante,,,
Club Deportivo Zaragozano de Gimnasia,Zaragoza,,,
Club Gimnasia Rítmica Manises,Valencia,,,
Club Odisea Tenerife,S.C. Tenerife,,,
Club Rítmica Galaica,A Coruña,,,
Club Ritmo,Madrid,,,
