nombre,provincia,web,email,telefono
A.D.E. Rítmica Alcorcón,Madrid,,clubritmica@gmail.com,646612034
Adam Asociación Deportiva Aeróbica de Móstoles,Madrid,,jdadam2009@gmail.com,640163049
Agrupación de Gimnasia Artística Deportiva de Móstoles,Madrid,,agad.mostoles@gmail.com,640098524
Agrupación Deportiva Collado Mediano,Madrid,,licoperdon@hotmail.com,657908779
Andraga Club,Madrid,https://www.andraga.es/,andragaclub@andraga.es,638587421
C.D Vicente Aleixandre Alcorcón,Madrid,,cdvicentealeixandre@hotmail.com,633391915
C.D. E Gimnasia Rítmica Majadahonda,Madrid,https://www.ritmicamajadahonda.com/,gimnasia.ritmica.majadahonda@gmail.com,689335205
C.D.E Rítmica Retiro Madrid,Madrid,www.ritmicaretiro.com,ritmicaretiro@gmail.com,617141669
C.D.E.G.R C.V. Atocha,Madrid,,gimnasiaritmicavirgendeatocha@outlook.es,615109016
CD Rítmica Nicè,Madrid,https://www.clubgimnasiarítmicanicé.es,cdritmica_nice@hotmail.com,645311637
CDE Alkor Villalkor,Madrid,,ritmicaalkorvillalkor@gmail.com,692064064
CDE Aluche,Madrid,,cd.aluche@gmail.com,695548480
CDE Aria Madrid Rítmica Moralzarzal,Madrid,,cde.ariamadridritmica@gmail.com,620727453
CDE Euritmia Gimnasia Rítmica,Madrid,,ritmica.euritmia@gmail.com,914891111
CDE Gimnasia Pivot Brunete,Madrid,,pivotbrunete@gmail.com,657307658
CDE Gimnasia Rítmica Lluna,Madrid,,cdegrlluna@hotmail.com,608222389
CDE GR Valle Magerit,Madrid,,cgrvallemagerit@hotmail.com,917251649
CDE La Hispanidad,Madrid,,marinareyes.gym@gmail.com,672624574
CDE Moscardo Siglo XXI,Madrid,,moscardosigloxxi@gmail.com,696969483
CDE Ritmadrid,Madrid,,clubritmadrid@hotmail.com,630924323
CDE Rítmica Chassé,Madrid,,Club.ritmica.chasse@gmail.com,692219405
CDE Rítmica El Greco JRJ,Madrid,,gimnasia.elgrecojrj@gmail.com,623041038
CDE Rítmica Fuenlabrada,Madrid,,cderitmicafuenlabrada@gmail.com,636350434
CDE Rítmica Getafe,Madrid,www.cderitmicagetafe.com,cderitmicagetafe@hotmail.com,717712251
CDE Rítmica Parla,Madrid,,cderitmicaparla@gmail.com,690111317
CDE Rítmica Sierra Madrid,Madrid,https://www.clubritmicasierramadrid.com/,ritmicasierramadrid@gmail.com,633448705
CDE Varitas de Tres Cantos,Madrid,https://www.gimnasiaritmica3cantos.es/,ritmica3cantos@gmail.com,659983433
CDEGR Humanes de Madrid,Madrid,,cdegrhumanes@gmail.com,654182471
CDEGR Villaviciosa de Odón,Madrid,,ritmicavillaviciosadeodon@hotmail.com,919000000
CEGAD. Los Cantos Alcorcón,Madrid,,cegadloscantosalcorcon@gmail.com,628921860
Centro Deportivo Vallecas CDV,Madrid,https://vallecascdv.es/,ritmicacdv@gmail.com,617855658
CEP Rítmica Vallecas,Madrid,https://www.ritmicavallecas.es/,ritmicavallecas@gmail.com,696428031
CGA Fenix Las Rozas,Madrid,https://cgafenixlasrozas.es/,info@cgafenixlasrozas.es,679980626
CGR Algete,Madrid,http://www.cgralgete.es,cgralgete@hotmail.com,605036359
CGR Arganzuela,Madrid,,arganzuelacgr@gmail.com,692470015
CGR San Agustín,Madrid,https://cgrsanagustin.home.blog/,cgrsanagus@gmail.com,611480124
CGR San Sebastián de los Reyes,Madrid,https://www.ritmicasanse.es/,administracion@ritmicasanse.es,910402345
CGR Villa de Madrid,Madrid,,cgrvillademadrid@hotmail.com,606846191
CGRD San Fernando,Madrid,http://www.cgrdsanfernando.es/,cgrdsanfernando@hotmail.com,615280529
Club Andraga Moralzarzal,Madrid,,acromoral@gmail.com,638587421
Club Bérriz,Madrid,https://colegioberriz.com/,ritmica.berriz@colegioberriz.com,636559580
Club Central Acrobática,Madrid,https://centralacrobatica.es/,centralacrobatica@gmail.com,699186561
Club D.E. Gimnástico Loranca,Madrid,,ritmicaloranca@hotmail.com,660131464
Club Dayso,Madrid,,ritmicadayso@gmail.com,638822486
Club de Gimnasia Artística Pozuelo,Madrid,https://www.cgapozuelo.es/,sylviagarciagonzalez@gmail.com,607746197
Club de Gimnasia Rítmica Hoyo de Manzanares,Madrid,,clubgrhoyodemanzanares@gmail.com,671447480
Club de Gimnasia Villa Getafe,Madrid,https://cdgrvillagetafe.com/,info@cdgrvillagetafe.com,654361330
Club Deportivo Elemental CP Perú,Madrid,https://www.clubdeportivoperu.com/,club.deportivo.cp.peru@gmail.com,626302626
Club Deportivo Elemental Dream Box,Madrid,https://grdreambox.wixsite.com/dream-box,gr.dreambox@gmail.com,691930148
Club Deportivo Elemental El Valle,Madrid,,gimnasiaritmica@cdelvalle.es,656382235
Club Deportivo Elemental G.R. Mejorada del Campo,Madrid,,clubgrmejoradadelcampo@gmail.com,676212339
Club Deportivo Elemental Gimnasia Aeróbica Paracuellos,Madrid,,cdegimnasiaaerobicaparacuellos@aerobicaparacuellos.es,635127414
Club Deportivo Elemental Gimnasia Rítmica Torrelodones,Madrid,,clubgrtorrelodones@gmail.com,616259897
Club Deportivo Elemental Las Cruces,Madrid,https://ritmicalascruces.es/,cdelascruces@gmail.com,669096632
Club Deportivo Elemental Rítmica Elegance,Madrid,,ritmicaelegance@hotmail.com,609123380
Club Deportivo Elemental Vallesport,Madrid,,vallesport14@gmail.com,699934670
Club Deportivo Enter,Madrid,http://www.clubdeportivoenter.es/,info@clubdeportivoenter.es,644407046
Club Deportivo Gimnástico Colmenar Viejo,Madrid,https://www.cdgcolmenarviejo.com/,c.d.g.colmenarviejo@gmail.com,644737276
Club Deportivo Gran Capitán,Madrid,https://ritmicagrancapitan.com/,ritmicagrancapitan@gmail.com,669400989
Club Deportivo GSD - Alcalá,Madrid,http://www.clubdeportivogsd.com/,cdalcala@gsd.coop,918303864
Club Deportivo GSD - El Escorial,Madrid,http://www.clubdeportivogsd.com/,cdelescorial@gsd.coop,918533521
Club Deportivo GSD - Guadarrama,Madrid,http://www.clubdeportivogsd.com/,cdguadarrama@gsd.coop,918547059
Club Deportivo GSD - Las Rozas,Madrid,http://www.clubdeportivogsd.com/,cdlasrozas@gsd.coop,916408923
Club Deportivo GSD - Las Suertes,Madrid,http://www.clubdeportivogsd.com/,cdlassuertes@gsd.coop,913853505
Club Deportivo GSD - Moratalaz,Madrid,http://www.clubdeportivogsd.com/,cdmoratalaz@gsd.coop,917723811
