nombre,provincia,web,email,telefono
A.D.E. Rítmica Alcorcón,Madrid,,clubritmica@gmail.com,646612034
C.D. E Gimnasia Rítmica Majadahonda,Madrid,https://www.ritmicamajadahonda.com/,gimnasia.ritmica.majadahonda@gmail.com,689335205
C.D.E Rítmica Retiro Madrid,Madrid,www.ritmicaretiro.com,ritmicaretiro@gmail.com,617141669
CD Rítmica Nicè,Madrid,https://www.clubgimnasiarítmicanicé.es,cdritmica_nice@hotmail.com,645311637
CDE Gimnasia Pivot Brunete,Madrid,,pivotbrunete@gmail.com,657307658
CDE Ritmadrid,Madrid,,clubritmadrid@hotmail.com,630924323
CDE Rítmica Getafe,Madrid,www.cderitmicagetafe.com,cderitmicagetafe@hotmail.com,717712251
CDE Rítmica Sierra Madrid,Madrid,https://www.clubritmicasierramadrid.com/,ritmicasierramadrid@gmail.com,633448705
CDE Varitas de Tres Cantos,Madrid,https://www.gimnasiaritmica3cantos.es/,ritmica3cantos@gmail.com,659983433
Centro Deportivo Vallecas CDV,Madrid,https://vallecascdv.es/,ritmicacdv@gmail.com,617855658
CEP Rítmica Vallecas,Madrid,https://www.ritmicavallecas.es/,ritmicavallecas@gmail.com,696428031
CGA Fenix Las Rozas,Madrid,https://cgafenixlasrozas.es/,info@cgafenixlasrozas.es,679980626
CGR Algete,Madrid,http://www.cgralgete.es,cgralgete@hotmail.com,605036359
CGR San Sebastián de los Reyes,Madrid,https://www.ritmicasanse.es/,administracion@ritmicasanse.es,910402345
CGRD San Fernando,Madrid,http://www.cgrdsanfernando.es/,cgrdsanfernando@hotmail.com,615280529
Club Andraga Moralzarzal,Madrid,,acromoral@gmail.com,638587421
Club Bérriz,Madrid,https://colegioberriz.com/,ritmica.berriz@colegioberriz.com,636559580
Club Central Acrobática,Madrid,https://centralacrobatica.es/,centralacrobatica@gmail.com,699186561
Club de Gimnasia Artística Pozuelo,Madrid,https://www.cgapozuelo.es/,sylviagarciagonzalez@gmail.com,607746197
Club de Gimnasia Rítmica Hoyo de Manzanares,Madrid,,clubgrhoyodemanzanares@gmail.com,671447480
Club de Gimnasia Villa Getafe,Madrid,https://cdgrvillagetafe.com/,info@cdgrvillagetafe.com,654361330
Club Deportivo Elemental CP Perú,Madrid,https://www.clubdeportivoperu.com/,club.deportivo.cp.peru@gmail.com,626302626
Club Deportivo Elemental Dream Box,Madrid,https://grdreambox.wixsite.com/dream-box,gr.dreambox@gmail.com,691930148
Club Deportivo Elemental El Valle,Madrid,,gimnasiaritmica@cdelvalle.es,656382235
Club Deportivo Elemental Gimnasia Rítmica Torrelodones,Madrid,,clubgrtorrelodones@gmail.com,616259897
Club Deportivo Elemental Las Cruces,Madrid,https://ritmicalascruces.es/,cdelascruces@gmail.com,669096632
Club Deportivo Elemental Rítmica Elegance,Madrid,,ritmicaelegance@hotmail.com,609123380
Club Deportivo Elemental Vallesport,Madrid,,vallesport14@gmail.com,699934670
Club Deportivo Enter,Madrid,http://www.clubdeportivoenter.es/,info@clubdeportivoenter.es,644407046
Club Deportivo Gimnástico Colmenar Viejo,Madrid,https://www.cdgcolmenarviejo.com/,c.d.g.colmenarviejo@gmail.com,644737276
Club Deportivo Gran Capitán,Madrid,https://ritmicagrancapitan.com/,ritmicagrancapitan@gmail.com,669400989
Club Deportivo GSD - Alcalá,Madrid,http://www.clubdeportivogsd.com/,cdalcala@gsd.coop,918303864
Club Deportivo GSD - Las Rozas,Madrid,http://www.clubdeportivogsd.com/,cdlasrozas@gsd.coop,916408923
Club Gimnasia Ciudad de Móstoles,Madrid,https://www.gimnasiaciudaddemostoles.com/,clubciudaddemostoles@gmail.com,629884704
Club Gimnasia Rítmica Arabeska,Madrid,https://www.clubarabeska.com/,contacto@clubarabeska.com,637230982
Federación Andaluza de Gimnasia,Andalucía,,info@andaluciagym.com,954296092
Club Gimnasia Rítmica Málaga,Málaga,http://ritmicamalaga.com/,club@ritmicamalaga.com,667627954
Club Deportivo Gimnasia Rítmica Fahala,Málaga,,info@ritmicafahala.com,613026768
Club Deportivo Gimnasia Rítmica Solhail Mijas,Málaga,,solhail@gmail.com,625741207
Club Aldetor Gimnasia Rítmica,Málaga,,info@aldetor.com,630674756
Club Gimnasia Rítmica Sirka Ritmo,Málaga,https://www.clubsirkaritmo.es/,info@sirkaritmo.com,666413400
