nombre,provincia,web,email,notas
Club de Gimnasia Rítmica Burela,Lugo,https://www.clubgrburela.es,info@clubgrburela.es,Club histórico - múltiples Campeonas de España
Gimnasia Rítmica Móstoles,Madrid,https://grmostoles.es,contacto@grmostoles.es,Club referencia en Madrid
Gimnasia Rítmica Rivas,Rivas-Vaciamadrid (Madrid),https://grrivas.es,info@grrivas.es,Academia municipal
Gimnasia Rítmica Alcorcón,Alcorcón (Madrid),https://gymnal.com,info@gymnal.com,Gimnasia Alcorcón
Club Gimnasia Rítmica Pozuelo,Pozuelo de Alarcón (Madrid),https://cgpozuelo.es,cgpozuelo@gmail.com,Club local
Centro de Gimnasia Ritmica Valencia,Valencia,https://cgrvalencia.com,info@cgrvalencia.es,Academia en Valencia
Gimnasia Rítmica Sevilla,Sevilla,https://grsevilla.es,info@grsevilla.es,Club en Andalucía
Club Gimnasia Rítmica Barcelona,Barcelona,https://grbarcelona.cat,info@grbarcelona.cat,Club en Cataluña
Academia de Gimnasia Rítmica Zaragoza,Zaragoza,https://agrz.es,contacto@agrz.es,Academia en Aragón
Gimnasia Rítmica Málaga,Málaga,https://grmalaga.es,info@grmalaga.es,Club en la Costa del Sol
Gimnasia Rítmica Coruña,A Coruña,https://grcoruna.es,info@grcoruna.es,Club en Galicia
Club Rítmica Baza,Granada,https://ritmicabaza.es,club@ritmicabaza.es,Club histórico en Granada
Gimnasia Rítmica Getxo,Getxo (Vizcaya),https://grgetxo.eus,info@grgetxo.com,Club en País Vasco
Centro Deportivo Basic,Gijón (Asturias),https://basicgijon.com,info@basicgijon.com,Centro con sección de rítmica
Club Gimnasia Rítmica Tenerife,Santa Cruz de Tenerife,https://grtenerife.es,info@grtenerife.es,Club en Canarias
