nombre,provincia,telefono,email,web,tipo
Body Ballet Barcelona,Barcelona,659 241 784,danzaballet@gmail.com,https://www.bodyballet.es,Danza
STUDIO11 Madrid Dance Center,Madrid,,,https://studio11madrid.com,Danza
Escuela Eva Quintana,Castellón,631 269 368,,https://escuelaevaquintana.com,Danza
Club Deportivo Salmebacha,Málaga,654786422,clubdeportivosalmebacha@gmail.com,,Danza
International Dance School,Alicante,"966 837 366, 683 433 985",info@internationaldanceschool.es,https://internationaldanceschool.es,Danza
Charlie Relevé Madrid,Madrid,"91 663 76 63, 686556375",,http://broadwayreleve.com,Danza
Ivan Navarro Baile,Alicante,,,https://www.ivannavarrobaile.com,Danza
Escuela Coco Comin,Barcelona,,,https://www.cococomin.net,Danza
Mambo Swing,Madrid,,,https://www.mamboswing.es,Danza
Escuela Lía,Madrid,,,,"Danza
Multidance,Madrid,,,,"Danza
Danza.es Directorio,Madrid,,,https://www.danza.es,Directorio
