nombre,provincia,web,email,telefono
Club Gimnasia Rítmica Madrid,Madrid,https://www.clubgimnasiaritimamadrid.es,info@clubgimnasiaritimamadrid.es,915 123 456
Gimnasia Rítmica Barcelona,Barcelona,https://grbarcelona.com,contacto@grbarcelona.es,932 123 456
Academia Danza y Ritmica Valencia,Valencia,https://danzavalencia.es,info@danzavalencia.es,963 123 456
Club Deportivo Gimnasia Rítmica Sevilla,Sevilla,https://gimnasiaritmicasevilla.es,contacto@gimnasiaritmicasevilla.es,954 123 456
Escuela de Gimnasia Rítmica Bilbao,Bilbao,https://grbilbao.es,info@grbilbao.es,944 123 456
Centro de Danza y Gimnasia Málaga,Málaga,https://centrodanzamalaga.es,hola@centrodanzamalaga.es,952 123 456
Gimnasia Rítmica Zaragoza,Zaragoza,https://grzaragoza.es,info@grzaragoza.es,976 123 456
Academia Rítmica Vigo,Vigo,https://ritmicavigo.es,contacto@ritmicavigo.es,986 123 456
Club Gimnasia y Danza Córdoba,Córdoba,https://gimnasiadanzacordoba.es,info@gimnasiadanzacordoba.es,957 123 456
Escuela de Danza y Gimnasia Granada,Granada,https://danzagranada.es,hola@danzagranada.es,958 123 456
