nombre,provincia,telefono,email,web,tipo
Benalrítmica,Málaga,659 332 605,escuelabenalritmica@gmail.com,https://inscripcionesdeportivasbenalmadena.es,Gimnasia Rítmica
Club Acróbatos Granada,Granada,645090857,club_acrobatos_granada@hotmail.com,https://www.andaluciagym.com/federacion/clubes/,Gimnasia Rítmica
A.D. La Salle Almería,Almería,661324557,adeportiva.gimnasia@lasallevirgendelmar.com,,Gimnasia Rítmica
Al Detor Torremolinos,Málaga,630674756,pilialdetor@hotmail.com,,Gimnasia Rítmica
Rítmica Euritmia,Madrid,669765191,ritmica.euritmia@gmail.com,https://ritmicaeuritmia.es,Gimnasia Rítmica
Club Villa Getafe,Madrid,https://cdgrvillagetafe.com,info@cdgrvillagetafe.com,
Gimnasia Rítmica Ciudad Real,Ciudad Real,,ritmicalegria@gmail.com,https://www.ciudadrealdeporte.es,Gimnasia Rítmica
Club Viravolta Santiago,A Coruña,https://clubviravoltasantiago.com,info@clubviravoltasantiago.com,
Club Palas Albacete,Albacete,,,http://www.clubpalas.es,Gimnasia Rítmica
Iplacea Alkalá,Alcalá de Henares,https://www.ritmicaiplacea.com,gr.iplaceacoordinacion@gmail.com,+34 692 276 300,Gimnasia Rítmica
Federación Andaluza Gimnasia,Sevilla,,,https://www.andaluciagym.com/federacion/clubes/,Federación
Federación Madrileña Gimnasia,Madrid,,,https://www.fmgimnasia.com/clubes/,Federación
Real Federación Española Gimnasia,Madrid,,,https://rfegimnasia.es,Federación
