nombre,provincia,web,email,telefono
Club Gimnasia Rítmica Manises,Valencia,clubgimnasiaritmicamanises.es,,
Club Ritmo,León,clubritmo.com,gimnasioritmo1981@gmail.com,
Club Atlético Montemar,Alicante,montemarclub.com,,
Club Deportivo Agustinos Alicante,Alicante,cdagustinosalicante.com,,
Club Deportivo Zaragozano de Gimnasia,Zaragoza,cdzaragozano.es,,
Club Odisea Tenerife,Tenerife,clubodisea.com,,
Club Rítmica Galaica,Galicia,ritmicagalaica.com,,
Club Deportivo Parque Móvil,Madrid,cdparquemovil.es,,
Real Grupo de Cultura Covadonga,Asturias,covadonga.es,,
Sección de Gimnasia Real Madrid,Madrid,realmadrid.com/gimnasia,,
S.D. Anaitasuna,Navarra,anaitasuna.com,recepcion@anaitasuna.com,
Club Gimnasia Rítmica Almería,Almería,cgralmeria.com,,
Gimnasia Rítmica Castro,U Cantabria,gimnasia-ritmica-castro.es,,
Club Rítmica Burgalesa,Burgos,ritmicaburgalesa.com,,
Centro de Gimnasia Ritmica Toledo,Toledo,cgrtoledo.es,,
