nombre,provincia,web,email
"Club de Gimnasia Rítmica Las Rozas","Madrid","https://cgrlasrozas.es","info@cgrlasrozas.es"
"Gimnasia Rítmica Alcobendas","Madrid","https://gralcobendas.es","club@gralcobendas.es"
"CDE Gimnasia Rítmica Griñón","Madrid","https://griñóngr.es","cdelementalgriñón@gmail.com"
"CDE Gimnasia Rítmica Majadahonda","Madrid","https://grmajadahonda.es","info@grmajadahonda.es"
"Club Gimnasia Rítmica Boadilla del Monte","Madrid","https://grboadilla.es","club@grboadilla.es"
"Club Gimnàstica Rítmica Barcelona","Barcelona","https://grbarcelona.cat","info@grbarcelona.cat"
"Club Rítmica Sabadell","Barcelona","https://ritmicasabadell.cat","info@ritmicasabadell.cat"
"Club Gimnasia Rítmica Mataró","Barcelona","https://grmataro.cat","club@grmataro.cat"
"Club Gimnasia Rítmica Valencia","Valencia","https://grvalencia.com","info@grvalencia.com"
"Club Rítmica Alicante","Alicante","https://ritmicaalicante.es","info@ritmicaalicante.es"
"Club Gimnasia Rítmica Sevilla","Sevilla","https://grsevilla.es","info@grsevilla.es"
"CDE Gimnasia Rítmica Aljarafe","Sevilla","https://graljarafe.es","club@graljarafe.es"
"Club Gimnasia Rítmica Málaga","Málaga","https://grmalaga.es","info@grmalaga.es"
"Club Rítmica Marbella","Málaga","https://ritmicamarbella.es","info@ritmicamarbella.es"
"Club Gimnasia Rítmica Galicia","A Coruña","https://grgalicia.gal","info@grgalicia.gal"
"Club Rítmica Vigo","Pontevedra","https://ritmicavigo.es","info@ritmicavigo.es"
"Club Gimnasia Rítmica Bilbao","Bilbao","https://grbilbao.eus","info@grbilbao.eus"
"Donostia Gimnasia Rítmica","Gipuzkoa","https://grdonostia.eus","info@grdonostia.eus"
"Federación Aragonesa de Gimnasia","Zaragoza","https://federacionaragonesadegimnasia.es","info@federacionaragonesadegimnasia.es"
"Club Rítmica L'Hospitalet","Barcelona","https://ritmicalhospitalet.cat","info@ritmicalhospitalet.cat"
"Gimnasia Rítmica Terrassa","Barcelona","https://grterrassa.cat","info@grterrassa.cat"
