nombre,provincia,web,email,telefono
Club Gimnasia Rítmica Málaga,Málaga,ritmicamalaga.com,no encontrado,667627954
Club Ritmo (León),León,clubritmo.com,campusclubritmo@gmail.com,639770783
Euritmia Gimnasia Rítmica (Madrid),Madrid,ritmicaeuritmia.es,ritmica.euritmia@gmail.com,669765191
Club Gimnasia Rítmica Arabeska,Madrid,clubarabeska.com,contacto@clubarabeska.com,652604095
CEP Rítmica Vallecas,Madrid,ritmicavallecas.com,no encontrado,no encontrado
Club Deportivo Stella Maris,Madrid,cdstellamaris.es,no encontrado,no encontrado
Club Deportivo Miralmar,Málaga,clubmiralmar.com,no encontrado,699622211
Rítmica Alaia,Alicante,ritmicaalaia.es,no encontrado,no encontrado
Escuela Gimnasia Rítmica Zaragoza,Zaragoza,clubescuelagr.com,no encontrado,no encontrado
Club Atlético Montemar (Alicante),Alicante,camontemar.es,no encontrado,no encontrado
