nombre,provincia,web,email
Club Gimnasia Rítmica Burela,Lugo,https://burela.es/gimnasia-ritmica,
Club Rítmica Gymnastics,Madrid,https://gymnasticsmadrid.com,
Gimnàstic de Tarragona,Tarragona,https://gimnastictarragona.cat,
Gimnasia Rítmica Joventut,Sevilla,https://grjoventut.es,
Club Deportivo Elemental Gimnastics,Barcelona,https://gimnasticsbcn.com,
Gimnasia Rítmica Córdoba,Córdoba,https://grcordoba.es,
Gimnasia Rítmica Almeria,Almería,https://gimnasiariticalmeria.es,
Club de Gimnasia Rítmica Marbella,Málaga,https://grmarbella.es,
Gimnasia Rítmica Valencia,Valencia,https://grvalencia.es,
Club Deportivo Básquetbol Bilbao,Bizkaia,https://bilbaobasket.eus,
Gimnasia Rítmica Albacete,Albacete,https://gralbacete.es,
Gimnasia Rítmica Valladolid,Valladolid,https://grvalladolid.es,
Gimnasia Rítmica Gijón,Asturias,https://grgijon.es,
Gimnasia Rítmica巴斯克,Málaga,https://grmalaga.es,
Gimnasia Rítmica Granada,Granada,https://grgranada.es,
