nombre,provincia,web,email,telefono,fuente
Club Esportiu Ritmica Pratenc,Cataluña,www.cerpratenc.es,ritmica@cerpratenc.es,+34 635 974 996,GradosEvolucionDeportiva
Club Gimnasia Rítmica Jerez,Andalucía,,clubgimnasiaritmicajerez@hotmail.com,657500478,GradosEvolucionDeportiva
Club Gimnasia Rítmica Mostoles,Madrid,,Raquelacornejo@gmail.com,650695095,GradosEvolucionDeportiva
CLUB RITMICA MILANY,Asturias,,crmilany@hotmail.com,677767929,GradosEvolucionDeportiva
CD RÍTMICA NAZARI,Andalucía,,ritmicanazari@gmail.com,617135342,GradosEvolucionDeportiva
CLUB GIMNASIA RÍTMICA DOS HERMANAS,Andalucía,,ritmicados@gmail.com,+34 692 22 11 98,GradosEvolucionDeportiva
CLUB RITMICO COLOMBIN O,Andalucía,,,679192877,GradosEvolucionDeportiva
CLUB RÍTMICA DIAMONDS,Andalucía,,,692704186,GradosEvolucionDeportiva
CLUB DEPORTIVO ZARAGOZANO DE GIMNASIA,Aragón,,,,GradosEvolucionDeportiva
CLUB ACROASTUR,Asturias,,,,GradosEvolucionDeportiva
DEPORTIVO LYS,Asturias,,,,GradosEvolucionDeportiva
AGRUPACIÓN RÍTMICA VILLANUEVA DE SIERO,Asturias,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RÍTmica PORTMANY,Baleares,,,,GradosEvolucionDeportiva
BS MENORCA RÍTMICA,Baleares,,,,GradosEvolucionDeportiva
CLUN RITMICA NOVA,Baleares,,,,GradosEvolucionDeportiva
ODISEA TENERIFE,Canarias,,,,GradosEvolucionDeportiva
C.D. URSEL,Canarias,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RITMICA ILARGUI,Canarias,,,,GradosEvolucionDeportiva
CLUB RITMICA SANTANDER,Cantabria,,,,GradosEvolucionDeportiva
EDM TORRELAVEGA,Cantabria,,,,GradosEvolucionDeportiva
EMD CASTRO URDIALES,Cantabria,,,,GradosEvolucionDeportiva
GYMRITMICA LAREDO,Cantabria,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RÍTMICA NOJA,Cantabria,,,,GradosEvolucionDeportiva
CLUB DEPORTIVO HUECAR,Castilla-La Mancha,,,,GradosEvolucionDeportiva
CLUB GIMNÁSTICO FÉNIX,Castilla-La Mancha,,,,GradosEvolucionDeportiva
CLUB TRAMPOLÍN ALBACETE,Castilla-La Mancha,,,,GradosEvolucionDeportiva
ESCUELA DE GIMNASIA ARTÍSTICA Y RÍTMICA IRUA,Castilla y León,,,,GradosEvolucionDeportiva
CD. GR PUCELA,Castilla y León,,,,GradosEvolucionDeportiva
CLUB DEPORTIVO SALMANTINO DE GIMNASIA,Castilla y León,,,,GradosEvolucionDeportiva
ABULA-GYM,Castilla y León,,,,GradosEvolucionDeportiva
CERITMICA MEDITERRANIA,Cataluña,,,,GradosEvolucionDeportiva
CET10,Cataluña,,,,GradosEvolucionDeportiva
CGR PRIMAVERA L´ALFAS,Comunidad Valenciana,,,,GradosEvolucionDeportiva
CLUB DEPORTIVO LLEDÓ,Comunidad Valenciana,,,,GradosEvolucionDeportiva
CLUB DINAMIC,Comunidad Valenciana,,,,GradosEvolucionDeportiva
CLUB ECA DE ALICANTE,Comunidad Valenciana,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RITMICA ACEUS,Comunidad Valenciana,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RÍTmica ALDAIA,Comunidad Valenciana,,,,GradosEvolucionDeportiva
GIMNASIA MORVEDRE,Comunidad Valenciana,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RÍTmica KAYMA,Comunidad Valenciana,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RÍTmica MANISES,Comunidad Valenciana,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RITMICA RIBERA ALTA ALZIRA,Comunidad Valenciana,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RITMICA VILLENA,Comunidad Valenciana,,,,GradosEvolucionDeportiva
GYM-VAL,Comunidad Valenciana,,,,GradosEvolucionDeportiva
CLUB GIMNASIA ARTÍSTICA EXTREMEÑA GYMAREX,Extremadura,,,,GradosEvolucionDeportiva
GIMNASIO FORMAS,Extremadura,,,,GradosEvolucionDeportiva
CLUB DEPORTIVO XIMNASIA RITMICA COMPOSTELA,Galicia,,,,GradosEvolucionDeportiva
CLUB SARAIBA ED POIO,Galicia,,,,GradosEvolucionDeportiva
CLUBE XIMNASIA TEMPO,Galicia,,,,GradosEvolucionDeportiva
CLUB VIRAVOLTA SANTIAGO,Galicia,,,,GradosEvolucionDeportiva
CLUB XIMNASIA OROSO,Galicia,,,,GradosEvolucionDeportiva
ACORDES PONTEDEUME,Galicia,,,,GradosEvolucionDeportiva
CLUB ESQUÍO,Galicia,,,,GradosEvolucionDeportiva
CLUB RITMICA XIADA,Galicia,,,,GradosEvolucionDeportiva
XIMNASIA CORUÑA,Galicia,,,,GradosEvolucionDeportiva
GRAND JETé,Galicia,,,,GradosEvolucionDeportiva
CLUB DE GIMNASIA LOGROÑO,La Rioja,,,,GradosEvolucionDeportiva
CLUB DEPORTIVO ACTIVE,La Rioja,,,,GradosEvolucionDeportiva
C.D. SUPERNOVA,La Rioja,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RITMICA CALAHORRA,La Rioja,,,,GradosEvolucionDeportiva
C.D.E. GIMNASIA RÍTmica MAJADAHONDA,Madrid,,,,GradosEvolucionDeportiva
C.G.R. IPLACEA ALKAL´A NAHAR,Madrid,,,,GradosEvolucionDeportiva
CDE RITMICA BOADILLA,Madrid,,,,GradosEvolucionDeportiva
CLUB DEPORTIVO ELEMENTAL GIMNASIA RÍTmica VILLA GETAFE,Madrid,,,,GradosEvolucionDeportiva
CLUB DEPORTIVO ELEMENTAL GR MORATALAZ,Madrid,,,,GradosEvolucionDeportiva
CLUB DEPORTIVO ELEMENTAL RÍTmica POZUELO,Madrid,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RÍTmica ARABESKA,Madrid,,,,GradosEvolucionDeportiva
CDE MOSCARDÓ SIGLO XXI,Madrid,,,,GradosEvolucionDeportiva
CLUB GIMNASTICO ALCOBENDAS CHAMARTIN,Madrid,,,,GradosEvolucionDeportiva
CLUB RITMICA JAMBÉ,Madrid,,,,GradosEvolucionDeportiva
CLUB RÍTMICA NUSÁN,Madrid,,,,GradosEvolucionDeportiva
CDE DREAM BOX,Madrid,,,,GradosEvolucionDeportiva
CDE RÍTMICA LA MINA,Madrid,,,,GradosEvolucionDeportiva
CGR ALGETE,Madrid,,,,GradosEvolucionDeportiva
CLUB DEPORTIVO ELEMENTAL MAGHERIT,Madrid,,,,GradosEvolucionDeportiva
CLUB DEPORTIVO ELEMENTAL RÍTmica RETIRO MADRID,Madrid,,,,GradosEvolucionDeportiva
CLUB DEPORTIVO SPORTS DREAMS,Madrid,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RITMICA DEPORTIVA LEGANÉS,Madrid,,,,GradosEvolucionDeportiva
ESCUELA EUROPEA DE GIMNASIA,Madrid,,,,GradosEvolucionDeportiva
IINS SPORTS SCHOOL,Madrid,,,,GradosEvolucionDeportiva
CLUB RELEVÉ,Murcia,,,,GradosEvolucionDeportiva
CLUB RITMICA HELIONOVA,Murcia,,,,GradosEvolucionDeportiva
CLUB RÍTmica MOVILÍN,Murcia,,,,GradosEvolucionDeportiva
CLUB RITMICA Y ESTETICA PINATAR,Murcia,,,,GradosEvolucionDeportiva
CLUB GIMNASIA RITMICA CIUDAD DE CEHEGÍN,Murcia,,,,GradosEvolucionDeportiva
CLUB RITMICA ALCANTARILLA,Murcia,,,,GradosEvolucionDeportiva
OLEZA,Murcia,,,,GradosEvolucionDeportiva
SPIRALIA,Murcia,,,,GradosEvolucionDeportiva
CLUB RITMICA ALAIA,Navarra,,,,GradosEvolucionDeportiva
CLUB RITMICA DE ANSOAIN,Navarra,,,,GradosEvolucionDeportiva
CLUB RÍTMICA AZKOIEN,Navarra,,,,GradosEvolucionDeportiva
CLUB GIMNÁSTICO FEMENINO DE GETXO,País Vasco,,,,GradosEvolucionDeportiva
